tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
80548,502982,2015-07-20,0,16,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,192 EAST 164 STREET,10451,Bronx,204,2,Bronx,8,77,32,BX14,East Concourse-Concourse Village,2018301,New York,40.82914287,-73.91992682,1006409.745,241366.4842
449489,503216,2015-11-12,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,1007 SUMMIT AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2018900,New York,40.83350388,-73.93009592,1003594.243,242952.9505
449293,503196,2015-11-12,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,80 WEST 163 STREET,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2018900,New York,40.83204635,-73.92889374,1003927.349,242422.1871
449153,503188,2015-11-12,0,10,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,1012 NELSON AVENUE,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2018900,New York,40.8330926,-73.92845135,1004049.461,242803.4738
449148,503152,2015-11-12,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,997 OGDEN AVENUE,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2018900,New York,40.83284025,-73.92951005,1003756.562,242711.2955
68192,503778,2015-07-15,0,3,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,165 WEST 161 STREET,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2018900,New York,40.82999022,-73.93167254,1003158.95,241672.4524
68347,503349,2015-07-15,0,25,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1020 JEROME AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2018900,New York,40.8320906,-73.92594967,1004742.053,242438.986
68393,503884,2015-07-15,0,2,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,982 DR M L KING JR BOULEVARD,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2018900,New York,40.83342376,-73.93125463,1003273.622,242923.506
324827,503258,2015-10-14,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,1088 WOODYCREST AVENUE,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2019300,New York,40.83470146,-73.92648559,1004592.947,243390.0937
325180,503263,2015-10-14,0,3,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,134 WEST 166 STREET,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2019300,New York,40.83549531,-73.92766889,1004265.266,243679.0498
5057,503275,2015-05-28,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,1055 OGDEN AVENUE,10452,Bronx,204,2,Bronx,8,84,29,BX26,Highbridge,2019300,New York,40.83462073,-73.92850322,1004034.653,243360.2184
68114,503350,2015-07-15,0,8,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1098 ANDERSON AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2019300,New York,40.83462874,-73.92529212,1004923.228,243363.8768
68115,503350,2015-07-15,0,3,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1092 ANDERSON AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2019300,New York,40.83453533,-73.92536389,1004903.395,243329.827
162978,503250,2015-08-20,0,4,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,1085 ANDERSON AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2019300,New York,40.83443459,-73.92559093,1004840.602,243293.0702
162980,503250,2015-08-20,0,7,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,1080 ANDERSON AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2019300,New York,40.83431101,-73.92568638,1004814.226,243248.0241
162979,503250,2015-08-20,0,6,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,1085 ANDERSON AVENUE,10452,Bronx,204,2,Bronx,8,77,29,BX26,Highbridge,2019300,New York,40.83438014,-73.92563298,1004828.98,243273.2222
479831,501447,2015-11-23,0,15,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,990 EAST 156 STREET,10455,Bronx,202,2,Bronx,8,85,32,BX33,Longwood,2008500,New York,40.81564097,-73.89895791,1012218.43,236453.2561
101811,501512,2015-07-29,0,12,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,771 BECK STREET,10455,Bronx,202,2,Bronx,8,84,32,BX33,Longwood,2008500,New York,40.81674421,-73.89837758,1012378.599,236855.3922
253229,500637,2015-09-24,0,5,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,334 EAST 148 STREET,10451,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2006500,New York,40.81599999,-73.92061572,1006223.436,236577.8865
89006,500638,2015-07-23,0,16,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,477 COURTLANDT AVENUE,10451,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2006500,New York,40.81483044,-73.92039671,1006284.445,236151.8312
401734,500562,2015-10-30,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,551 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007300,New York,40.81317721,-73.90720664,1009936.135,235553.0939
398666,500682,2015-10-29,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,732 EAST 152 STREET,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007300,New York,40.8158275,-73.90747342,1009861.267,236518.61
398624,500680,2015-10-29,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,721 EAST 151 STREET,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007300,New York,40.81509106,-73.90820969,1009657.75,236250.0833
397947,500646,2015-10-29,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,625 JACKSON AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007300,New York,40.81530415,-73.90840971,1009602.304,236327.6642
398449,500633,2015-10-29,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,632 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81483167,-73.90645837,1010142.619,236156.0907
398450,500633,2015-10-29,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,632 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81494553,-73.9064175,1010153.887,236197.5884
401888,500556,2015-10-30,0,14,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,590 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81354215,-73.90671839,1010071.145,235686.1986
402023,500557,2015-10-30,0,12,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,550 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81317307,-73.90704771,1009980.129,235551.6313
249387,500591,2015-09-23,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,237 EAST 141 STREET,10451,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2005100,New York,40.81445803,-73.92615307,1004691.181,236014.7541
249277,500710,2015-09-23,0,11,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,232 EAST 144 STREET,10451,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2005100,New York,40.8155373,-73.92510411,1004981.2,236408.2162
249278,500710,2015-09-23,0,11,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,405 RIDER AVENUE,10451,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2005100,New York,40.81544367,-73.9251709,1004962.744,236374.087
249534,500516,2015-09-23,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,250 CANAL PLACE,10451,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2005100,New York,40.81223537,-73.92817792,1004131.356,235204.4913
249279,500710,2015-09-23,0,11,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,391 RIDER AVENUE,10451,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2005100,New York,40.81529501,-73.92527692,1004933.443,236319.9021
340626,500149,2015-10-16,0,3,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,581 EAST 137 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002701,New York,40.80591537,-73.91729853,1007145.097,232904.551
551577,500154,2016-03-22,0,6,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,169 CYPRESS AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002701,New York,40.80383919,-73.91585902,1007544.338,232148.5039
119727,500147,2015-08-05,0,5,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,574 EAST 138 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002701,New York,40.80659382,-73.91717303,1007179.608,233151.7673
119866,500189,2015-08-05,0,4,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,671 EAST 140 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002702,New York,40.80684606,-73.913389,1008227.077,233244.6802
119770,500284,2015-08-05,0,5,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,596 EAST 141 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002702,New York,40.80813518,-73.91484125,1007824.584,233713.9581
120053,500191,2015-08-05,0,5,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,676 EAST 141 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002702,New York,40.80729041,-73.91284652,1008377.095,233406.7212
443519,500214,2015-11-10,0,17,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,400 EAST 137 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002500,New York,40.8081726,-73.92292343,1005587.175,233725.5191
460733,500519,2015-11-16,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,517 EAST 144 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004300,New York,40.81140087,-73.91592122,1007524.473,234903.4751
460734,500519,2015-11-16,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,540 EAST 144 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004300,New York,40.81135697,-73.91578877,1007561.152,234887.5168
462281,501091,2015-11-17,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,438 BROOK AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004300,New York,40.81192588,-73.91658853,1007339.568,235094.5764
119797,500300,2015-08-05,0,22,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,358 CYPRESS AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003300,New York,40.80866479,-73.91273755,1008406.763,233907.4853
119796,500300,2015-08-05,0,24,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,354 CYPRESS AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003300,New York,40.80857416,-73.91278562,1008393.486,233874.4539
119798,500300,2015-08-05,0,25,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,370 CYPRESS AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003300,New York,40.80896213,-73.9125798,1008450.322,234015.8588
417138,500353,2015-11-02,0,27,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,175 LINCOLN AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002300,New York,40.80937882,-73.92816224,1004136.549,234163.7525
460523,500371,2015-11-16,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,528 EAST 142 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004100,New York,40.81008374,-73.91666178,1007319.931,234423.4016
460451,500315,2015-11-16,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,328 BROOK AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004100,New York,40.80941941,-73.91755047,1007074.147,234181.1285
92466,500453,2015-07-25,0,8,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,525 EAST 143 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004100,New York,40.81072888,-73.91624552,1007434.935,234658.5583
91687,500586,2015-07-25,0,5,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,383 EAST 143 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004100,New York,40.81303007,-73.92060862,1006226.382,235495.8378
91689,500586,2015-07-25,0,4,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,357 EAST 143 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004100,New York,40.81340015,-73.92147944,1005985.208,235630.4546
551582,500290,2016-03-22,0,11,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,494 EAST 139 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003900,New York,40.80852396,-73.9192935,1006591.934,233854.4342
232105,501114,2015-09-16,0,24,OffsetFromCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,105 WILLIS AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2001900,New York,40.80568949,-73.92509062,1004988.004,232820.3139
262518,500181,2015-09-26,0,8,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,109 WILLIS AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2001900,New York,40.80615491,-73.92564485,1004834.425,232989.7509
262521,500181,2015-09-26,0,3,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,85 BRUCKNER BOULEVARD,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2001900,New York,40.80631052,-73.92601454,1004732.033,233046.3604
264378,500226,2015-09-27,0,12,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,112 LINCOLN AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2001900,New York,40.80760269,-73.92904012,1003894.056,233516.45
251590,500302,2015-09-23,0,3,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,263 EAST 134 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2001900,New York,40.8085771,-73.92940023,1003794.08,233871.3791
251591,500302,2015-09-23,0,4,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,263 EAST 134 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2001900,New York,40.80852644,-73.9292794,1003827.541,233852.952
119812,500377,2015-08-05,0,10,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,611 EAST 149 STREET,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003700,New York,40.8135532,-73.91110776,1008856.127,235688.9585
460696,500398,2015-11-16,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,494 CONCORD AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003500,New York,40.81148961,-73.9084707,1009586.872,234937.8734
460693,500398,2015-11-16,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,481 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003500,New York,40.81140712,-73.90806223,1009699.977,234907.9371
460659,500399,2015-11-16,0,54,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,481 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003500,New York,40.81119102,-73.90790299,1009744.138,234829.2522
460657,500399,2015-11-16,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,471 WALES AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003500,New York,40.81091326,-73.90800411,1009716.254,234728.0224
462192,500526,2015-11-17,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,460 BROOK AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004300,New York,40.81295054,-73.91591416,1007525.886,235468.0754
462264,500496,2015-11-17,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,468 BROOK AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004300,New York,40.81280204,-73.91608246,1007479.351,235413.9269
92870,500497,2015-07-25,0,7,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,545 EAST 146 STREET,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004300,New York,40.8124844,-73.91483227,1007825.531,235298.5321
82216,500606,2015-07-21,0,2,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,556 EAST 149 STREET,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2004300,New York,40.81424552,-73.91320634,1008274.972,235940.6154
462663,500470,2015-11-17,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,514 TINTON AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003100,New York,40.81151897,-73.906664,1010086.987,234949.0971
460613,500514,2015-11-16,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,528 SOUTHERN BOULEVARD,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003100,New York,40.81203978,-73.90441412,1010709.585,235139.518
462659,500470,2015-11-17,0,7,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,530 TINTON AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003100,New York,40.81227356,-73.90639267,1010161.802,235224.1021
462662,500470,2015-11-17,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,514 TINTON AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003100,New York,40.81166195,-73.90661259,1010101.163,235001.2036
462664,500470,2015-11-17,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,506 TINTON AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003100,New York,40.81141041,-73.90670303,1010076.225,234909.5348
462665,500470,2015-11-17,0,2,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,506 TINTON AVENUE,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003100,New York,40.81133363,-73.90673064,1010068.612,234881.5519
346977,501086,2015-10-19,0,8,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,287 WALTON AVENUE,10451,Bronx,201,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.81470748,-73.93054394,1003475.695,236104.643
445321,502828,2015-11-11,0,13,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,800 GRAND CONCOURSE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.8254605,-73.92391785,1005306.417,240023.8793
445315,502828,2015-11-11,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,825 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82571089,-73.92463962,1005106.584,240114.9322
445322,502828,2015-11-11,0,10,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,800 GRAND CONCOURSE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82542515,-73.92381597,1005334.627,240011.0256
445319,502828,2015-11-11,0,11,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,800 GRAND CONCOURSE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82553849,-73.92414267,1005244.174,240052.2401
445318,502828,2015-11-11,0,10,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,825 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82557999,-73.9242623,1005211.05,240067.3323
445320,502828,2015-11-11,0,8,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,800 GRAND CONCOURSE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82549653,-73.92402171,1005277.662,240036.9813
444981,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,675 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82240886,-73.92682756,1004502.059,238911.3703
446107,502829,2015-11-11,0,5,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,800 GRAND CONCOURSE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82499803,-73.92388866,1005314.645,239855.3924
444994,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,721 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82398542,-73.92594982,1004744.507,239485.9709
444976,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,151 EAST 151 STREET,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82166352,-73.92717257,1004406.796,238639.736
444978,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,645 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82194047,-73.92705762,1004438.527,238740.6656
444992,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,721 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82380366,-73.92605007,1004716.816,239419.7253
444977,502827,2015-11-11,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,151 EAST 151 STREET,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82177242,-73.92712737,1004419.272,238679.4207
444982,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,675 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82261508,-73.92671175,1004534.048,238986.528
444986,502827,2015-11-11,0,3,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,675 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82295085,-73.9265288,1004584.582,239108.9044
444980,502827,2015-11-11,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,675 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82229111,-73.92689866,1004482.416,238868.4521
444995,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,721 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82403908,-73.92592022,1004752.683,239505.5306
444993,502827,2015-11-11,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,721 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82386036,-73.9260188,1004725.455,239440.3922
444161,502836,2015-11-10,0,6,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,656 GERARD AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.8222763,-73.92706546,1004436.255,238863.019
442063,500678,2015-11-09,0,4,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,391 WALTON AVENUE,10451,Bronx,201,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.81649995,-73.92906407,1003884.799,236758.0311
447561,502853,2015-11-11,0,9,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,721 WALTON AVENUE,10451,Bronx,204,2,Bronx,8,84,29,BX63,West Concourse,2006300,New York,40.82405562,-73.92606769,1004711.863,239511.5197
